Var1,Location,Confidence,Condition
Q9P0J7,Endoplasmic Reticulum,High,Control
Q9P0L0,Cytoskeleton,High,Control
Q9P0S9,Endoplasmic Reticulum,High,Control
Q9P0U1,Mitochondria,High,Control
Q9P1F3,Cytoplasm,High,Control
Q9P1U1,Cytoskeleton,High,Control
Q9P253,Endoplasmic Reticulum,High,Control
Q9P2J5,Presynapse,High,Control
Q9P2R7,Cytoskeleton,High,Control
Q9P2U7,Cytoskeleton,High,Control
Q9P2W3,Endoplasmic Reticulum,High,Control
Q9UBB6,Cytoskeleton,High,Control
Q9UBC2,Cytoskeleton,High,Control
Q9UBF2,Endoplasmic Reticulum,High,Control
Q9UBI6,Presynapse,High,Control
Q9UBN7,Endoplasmic Reticulum,High,Control
Q9UBP0,Endoplasmic Reticulum,High,Control
Q9UBP4,Cytoskeleton,High,Control
Q9UBQ7,Cytoskeleton,High,Control
Q9UBS5,Endoplasmic Reticulum,High,Control
Q9UD71,Cytoplasm,High,Control
Q9UDT6,Endoplasmic Reticulum,High,Control
Q9UDY2,Endoplasmic Reticulum,High,Control
Q9UEY8,Cytoskeleton,High,Control
Q9UGM6,Mitochondria,High,Control
Q9UH03,Cytoskeleton,High,Control
Q9UH99,Nucleus,High,Control
Q9UHA4,Presynapse,High,Control
Q9UHD1,Cytoskeleton,High,Control
Q9UHD8,Cytoskeleton,High,Control
Q9UHL4,Cytoplasm,High,Control
Q9UHV9,Cytoplasm,High,Control
Q9UHX1,Nucleus,High,Control
Q9UHY1,Endoplasmic Reticulum,High,Control
Q9UHY7,Cytoskeleton,High,Control
Q9UI12,Cytoskeleton,High,Control
Q9UI15,Cytoskeleton,High,Control
Q9UI47,Endoplasmic Reticulum,High,Control
Q9UIC8,Cytoplasm,High,Control
Q9UIG0,Cytoskeleton,High,Control
Q9UJC5,Cytoskeleton,High,Control
Q9UJU6,Cytoskeleton,High,Control
Q9UJY5,Cytoplasm,High,Control
Q9UJZ1,Mitochondria,High,Control
Q9UK22,Cytoskeleton,High,Control
Q9UK45,Cytoplasm,High,Control
Q9UK76,Cytoplasm,High,Control
Q9UKA9,Nucleus,High,Control
Q9UKG1,Cytoskeleton,High,Control
Q9UKK9,Cytoplasm,High,Control
Q9UL12,Cytoskeleton,High,Control
Q9UL15,Endoplasmic Reticulum,High,Control
Q9UL46,Cytoplasm,High,Control
Q9ULA0,Cytoplasm,High,Control
Q9ULC4,Cytoskeleton,High,Control
Q9ULD0,Cytoskeleton,High,Control
Q9ULN7,Endoplasmic Reticulum,High,Control
Q9ULR3,Cytoskeleton,High,Control
Q9ULU8,Cytoskeleton,High,Control
Q9ULV4,Cytoskeleton,High,Control
Q9UM19,Cytoskeleton,High,Control
Q9UN36,Cytoskeleton,High,Control
Q9UNE7,Endoplasmic Reticulum,High,Control
Q9UNS2,Cytoskeleton,High,Control
Q9UNZ2,Cytoskeleton,High,Control
Q9UPA5,Cytoskeleton,High,Control
Q9UPN3,Cytoskeleton,High,Control
Q9UPT5,Endoplasmic Reticulum,High,Control
Q9UPT6,Endoplasmic Reticulum,High,Control
Q9UPX0,Postsynapse,High,Control
Q9UPX8,Nucleus,High,Control
Q9UPY5,Endoplasmic Reticulum,High,Control
Q9UPY8,Cytoskeleton,High,Control
Q9UQ16,Cytoskeleton,High,Control
Q9UQ90,Mitochondria,High,Control
Q9UQB8,Plasma membrane,High,Control
Q9UQM7,Cytoskeleton,High,Control
Q9Y277,Cytoskeleton,High,Control
Q9Y285,Cytoskeleton,High,Control
Q9Y287,Endoplasmic Reticulum,High,Control
Q9Y2A7,Cytoskeleton,High,Control
Q9Y2B0,Endoplasmic Reticulum,High,Control
Q9Y2D4,Endoplasmic Reticulum,High,Control
Q9Y2J0,Cytoskeleton,High,Control
Q9Y2J8,Cytoskeleton,High,Control
Q9Y2K9,Endoplasmic Reticulum,High,Control
Q9Y2S2,Cytoskeleton,High,Control
Q9Y2T2,Endoplasmic Reticulum,High,Control
Q9Y2T3,Cytoskeleton,High,Control
Q9Y2V2,Cytoplasm,High,Control
Q9Y2X7,Plasma membrane,High,Control
Q9Y2Z4,Mitochondria,High,Control
Q9Y2Z9,Mitochondria,High,Control
Q9Y320,Endoplasmic Reticulum,High,Control
Q9Y371,Endoplasmic Reticulum,High,Control
Q9Y3B3,Endoplasmic Reticulum,High,Control
Q9Y3B8,Cytoplasm,High,Control
Q9Y3C6,Endoplasmic Reticulum,High,Control
Q9Y3D6,Plasma membrane,High,Control
Q9Y3E1,Nucleus,High,Control
Q9Y426,Endoplasmic Reticulum,High,Control
Q9Y490,Cytoskeleton,High,Control
Q9Y4D1,Endoplasmic Reticulum,High,Control
Q9Y4E1,Endoplasmic Reticulum,High,Control
Q9Y4E6,Cytoskeleton,High,Control
Q9Y4F1,Plasma membrane,High,Control
Q9Y4I1,Cytoskeleton,High,Control
Q9Y4L1,Cytoskeleton,High,Control
Q9Y5K8,Cytoskeleton,High,Control
Q9Y5P6,Cytoplasm,High,Control
Q9Y5S2,Endoplasmic Reticulum,High,Control
Q9Y5U8,Mitochondria,High,Control
Q9Y5X3,Endoplasmic Reticulum,High,Control
Q9Y5Z4,Cytoplasm,High,Control
Q9Y617,Cytoskeleton,High,Control
Q9Y678,Endoplasmic Reticulum,High,Control
Q9Y696,Cytoskeleton,High,Control
Q9Y697,Cytoskeleton,High,Control
Q9Y6C9,Cytoskeleton,High,Control
Q9Y6D6,Mitochondria,High,Control
Q9Y6I3,Cytoskeleton,High,Control
Q9Y6M9,Mitochondria,High,Control
Q9Y6R1,Cytoskeleton,High,Control
Q9Y6V0,Postsynapse,High,Control
Q9Y6X5,Endoplasmic Reticulum,High,Control
O00116,Cytoplasm,Low,Control
O00192,Cytoplasm_Endoplasmic Reticulum,Low,Control
O14744,Cytoplasm_Endoplasmic Reticulum,Low,Control
O14841,Cytoplasm,Low,Control
O14907,Cytoplasm_Endoplasmic Reticulum,Low,Control
O43708,Cytoplasm_Cytoskeleton,Low,Control
O43760,Cytoplasm_Nucleus,Low,Control
O60658,Cytoplasm,Low,Control
O60749,Cytoplasm,Low,Control
O60925,Cytoplasm_Cytoskeleton,Low,Control
O75936,Cytoplasm_Mitochondria,Low,Control
O95295,Cytoplasm,Low,Control
P01591,Cytoplasm_Nucleus,Low,Control
P04114,Cytoplasm_Cytoskeleton,Low,Control
P04217,Cytoplasm_Mitochondria,Low,Control
P05155,Cytoplasm_Cytoskeleton,Low,Control
P05452,Cytoplasm_Nucleus,Low,Control
P06730,Cytoplasm,Low,Control
P07738,Cytoplasm_Nucleus,Low,Control
P08397,Cytoplasm_Endoplasmic Reticulum,Low,Control
P09012,Cytoplasm,Low,Control
P0C0L4,Cytoplasm,Low,Control
P0DJI8,Cytoplasm_Plasma membrane,Low,Control
P10620,Cytoplasm_Mitochondria,Low,Control
P20936,Cytoplasm_Mitochondria,Low,Control
P22059,Cytoplasm,Low,Control
P28072,Cytoplasm_Cytoskeleton,Low,Control
P30876,Cytoplasm,Low,Control
P32929,Cytoplasm_Mitochondria,Low,Control
P34913,Cytoplasm_Endoplasmic Reticulum,Low,Control
P34949,Cytoplasm_Cytoskeleton,Low,Control
P37235,Cytoplasm_Cytoskeleton,Low,Control
P40145,Cytoplasm_Nucleus,Low,Control
P40855,Cytoplasm_Mitochondria,Low,Control
P42566,Cytoplasm_Endoplasmic Reticulum,Low,Control
P48506,Cytoplasm_Endoplasmic Reticulum,Low,Control
P49593,Cytoplasm_Cytoskeleton,Low,Control
P49721,Cytoplasm_Cytoskeleton,Low,Control
P50226,Cytoplasm,Low,Control
P50579,Cytoplasm_Mitochondria,Low,Control
P53367,Cytoplasm,Low,Control
P53582,Cytoplasm_Cytoskeleton,Low,Control
P61081,Cytoplasm_Cytoskeleton,Low,Control
P61204,Cytoplasm,Low,Control
P61328,Cytoplasm_Cytoskeleton,Low,Control
P62495,Cytoplasm,Low,Control
Q06481,Cytoplasm_Mitochondria,Low,Control
Q13617,Cytoplasm_Cytoskeleton,Low,Control
Q14978,Cytoplasm_Nucleus,Low,Control
Q15363,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q15417,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q16881,Cytoplasm_Cytoskeleton,Low,Control
Q4G0P3,Cytoplasm_Plasma membrane,Low,Control
Q52LD8,Cytoplasm_Mitochondria,Low,Control
Q562R1,Cytoplasm_Postsynapse,Low,Control
Q5H9R7,Cytoplasm_Mitochondria,Low,Control
Q5JSH3,Cytoplasm_Cytoskeleton,Low,Control
Q5VT25,Cytoplasm,Low,Control
Q5VWZ2,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q6IQ22,Cytoplasm_Mitochondria,Low,Control
Q7L2H7,Cytoplasm,Low,Control
Q7Z7L7,Cytoplasm_Mitochondria,Low,Control
Q86VS8,Cytoplasm_Nucleus,Low,Control
Q8ND24,Cytoplasm_Mitochondria,Low,Control
Q8NFU3,Cytoplasm,Low,Control
Q8TEA8,Cytoplasm_Cytoskeleton,Low,Control
Q8TEQ8,Cytoplasm_Nucleus,Low,Control
Q8TF30,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q8WWI1,Cytoplasm_Mitochondria,Low,Control
Q8WXC6,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q92696,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q92905,Cytoplasm_Cytoskeleton,Low,Control
Q92990,Cytoplasm_Mitochondria,Low,Control
Q96AJ9,Cytoplasm_Mitochondria,Low,Control
Q96DZ1,Cytoplasm,Low,Control
Q96IU4,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q96JQ2,Cytoplasm_Nucleus,Low,Control
Q96S66,Cytoplasm_Nucleus,Low,Control
Q9BSH5,Cytoplasm,Low,Control
Q9BTE1,Cytoplasm,Low,Control
Q9BW62,Cytoplasm,Low,Control
Q9BXS0,Cytoplasm_Nucleus,Low,Control
Q9BXS5,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q9C0D9,Cytoplasm,Low,Control
Q9H2C0,Cytoplasm_Nucleus,Low,Control
Q9H2W6,Cytoplasm_Mitochondria,Low,Control
Q9H330,Cytoplasm,Low,Control
Q9NQ48,Cytoplasm,Low,Control
Q9NRY5,Cytoplasm_Mitochondria,Low,Control
Q9NRY6,Cytoplasm,Low,Control
Q9P2D7,Cytoplasm_Cytoskeleton,Low,Control
Q9UBB4,Cytoplasm_Cytoskeleton,Low,Control
Q9Y295,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q9Y2H9,Cytoplasm_Mitochondria,Low,Control
Q9Y3C8,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q9Y3U8,Cytoplasm_Cytoskeleton,Low,Control
Q9Y4E8,Cytoplasm,Low,Control
Q9Y4F4,Cytoplasm_Endoplasmic Reticulum,Low,Control
Q9Y6R7,Cytoplasm_Nucleus,Low,Control
E9PAV3,Cytoskeleton_Plasma membrane,Low,Control
O00401,Cytoskeleton_Endoplasmic Reticulum,Low,Control
O00487,Cytoskeleton_Endoplasmic Reticulum,Low,Control
O14561,Cytoskeleton_Mitochondria,Low,Control
O14775,Cytoskeleton_Endoplasmic Reticulum,Low,Control
O14807,Cytoskeleton,Low,Control
O15173,Cytoskeleton,Low,Control
O43399,Cytoskeleton_Presynapse,Low,Control
O43687,Cytoskeleton,Low,Control
O60268,Cytoskeleton_Plasma membrane,Low,Control
O75131,Cytoskeleton,Low,Control
O75380,Cytoskeleton,Low,Control
O75506,Cytoskeleton_Postsynapse,Low,Control
O76054,Cytoskeleton,Low,Control
O94905,Cytoskeleton_Plasma membrane,Low,Control
O94919,Cytoskeleton_Plasma membrane,Low,Control
O95716,Cytoskeleton_Plasma membrane,Low,Control
P01860,Cytoskeleton,Low,Control
P02730,Cytoskeleton_Presynapse,Low,Control
P05166,Cytoskeleton_Mitochondria,Low,Control
P13521,Cytoskeleton,Low,Control
P16112,Cytoskeleton_Plasma membrane,Low,Control
P19784,Cytoskeleton_Endoplasmic Reticulum,Low,Control
P20339,Cytoskeleton_Presynapse,Low,Control
P21810,Cytoskeleton_Presynapse,Low,Control
P21912,Cytoskeleton_Mitochondria,Low,Control
P26378,Cytoskeleton_Plasma membrane,Low,Control
P26599,Cytoskeleton,Low,Control
P30711,Cytoskeleton_Nucleus,Low,Control
P31689,Cytoskeleton_Plasma membrane,Low,Control
P33176,Cytoskeleton,Low,Control
P33402,Cytoskeleton,Low,Control
P35998,Cytoskeleton,Low,Control
P36915,Cytoskeleton_Presynapse,Low,Control
P42224,Cytoskeleton_Endoplasmic Reticulum,Low,Control
P43007,Cytoskeleton_Presynapse,Low,Control
P43155,Cytoskeleton,Low,Control
P49758,Cytoskeleton_Presynapse,Low,Control
P50454,Cytoskeleton_Endoplasmic Reticulum,Low,Control
P51575,Cytoskeleton,Low,Control
P52788,Cytoskeleton_Endoplasmic Reticulum,Low,Control
P52815,Cytoskeleton,Low,Control
P53602,Cytoskeleton,Low,Control
P56385,Cytoskeleton_Mitochondria,Low,Control
P61254,Cytoskeleton_Plasma membrane,Low,Control
P61313,Cytoskeleton_Plasma membrane,Low,Control
P62333,Cytoskeleton_Plasma membrane,Low,Control
P62851,Cytoskeleton_Plasma membrane,Low,Control
P83731,Cytoskeleton_Presynapse,Low,Control
P84085,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q00765,Cytoskeleton,Low,Control
Q02153,Cytoskeleton,Low,Control
Q02156,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q04837,Cytoskeleton_Mitochondria,Low,Control
Q08722,Cytoskeleton_Plasma membrane,Low,Control
Q13596,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q13616,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q13825,Cytoskeleton_Mitochondria,Low,Control
Q14289,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q14738,Cytoskeleton_Plasma membrane,Low,Control
Q15814,Cytoskeleton_Mitochondria,Low,Control
Q16401,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q16620,Cytoskeleton,Low,Control
Q27J81,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q58FF8,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q5JRX3,Cytoskeleton_Postsynapse,Low,Control
Q684P5,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q6H8Q1,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q709C8,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q7Z460,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q86VW0,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q8IZD9,Cytoskeleton,Low,Control
Q8N1G4,Cytoskeleton_Plasma membrane,Low,Control
Q8N568,Cytoskeleton,Low,Control
Q8N6T3,Cytoskeleton,Low,Control
Q8N8Y2,Cytoskeleton_Plasma membrane,Low,Control
Q8NB37,Cytoskeleton,Low,Control
Q8WXD2,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q92530,Cytoskeleton,Low,Control
Q92783,Cytoskeleton,Low,Control
Q92882,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q92973,Cytoskeleton,Low,Control
Q969H8,Cytoskeleton_Plasma membrane,Low,Control
Q96CX2,Cytoskeleton_Plasma membrane,Low,Control
Q96EE3,Cytoskeleton_Mitochondria,Low,Control
Q96HU8,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q99685,Cytoskeleton,Low,Control
Q99747,Cytoskeleton_Presynapse,Low,Control
Q99829,Cytoskeleton,Low,Control
Q99961,Cytoskeleton,Low,Control
Q9BTV5,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q9C0H9,Cytoskeleton,Low,Control
Q9GZY8,Cytoskeleton,Low,Control
Q9H254,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q9H4M3,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q9NP97,Cytoskeleton_Plasma membrane,Low,Control
Q9NRN7,Cytoskeleton,Low,Control
Q9NTX5,Cytoskeleton,Low,Control
Q9NVJ2,Cytoskeleton_Plasma membrane,Low,Control
Q9UBQ0,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q9UBV8,Cytoskeleton_Plasma membrane,Low,Control
Q9UIA9,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q9UL25,Cytoskeleton_Plasma membrane,Low,Control
Q9UNM6,Cytoskeleton_Endoplasmic Reticulum,Low,Control
Q9Y305,Cytoskeleton_Plasma membrane,Low,Control
Q9Y4C0,Cytoskeleton_Endoplasmic Reticulum,Low,Control
O00178,Endoplasmic Reticulum_Nucleus,Low,Control
O00194,Endoplasmic Reticulum_Mitochondria,Low,Control
O00231,Endoplasmic Reticulum_Presynapse,Low,Control
O00232,Endoplasmic Reticulum_Presynapse,Low,Control
O00291,Endoplasmic Reticulum,Low,Control
O00478,Endoplasmic Reticulum_Plasma membrane,Low,Control
O00629,Endoplasmic Reticulum_Plasma membrane,Low,Control
O14558,Endoplasmic Reticulum,Low,Control
O14653,Endoplasmic Reticulum_Nucleus,Low,Control
O14662,Endoplasmic Reticulum_Mitochondria,Low,Control
O14936,Endoplasmic Reticulum_Presynapse,Low,Control
O14974,Endoplasmic Reticulum_Mitochondria,Low,Control
O15118,Endoplasmic Reticulum_Plasma membrane,Low,Control
O15127,Endoplasmic Reticulum,Low,Control
O15372,Endoplasmic Reticulum_Presynapse,Low,Control
O15498,Endoplasmic Reticulum,Low,Control
O43592,Endoplasmic Reticulum,Low,Control
O43854,Endoplasmic Reticulum,Low,Control
O60331,Endoplasmic Reticulum_Presynapse,Low,Control
O60493,Endoplasmic Reticulum,Low,Control
O60613,Endoplasmic Reticulum,Low,Control
O60716,Endoplasmic Reticulum,Low,Control
O60739,Endoplasmic Reticulum_Plasma membrane,Low,Control
O75110,Endoplasmic Reticulum_Presynapse,Low,Control
O75155,Endoplasmic Reticulum,Low,Control
O75348,Endoplasmic Reticulum,Low,Control
O75351,Endoplasmic Reticulum,Low,Control
O75896,Endoplasmic Reticulum,Low,Control
O94911,Endoplasmic Reticulum_Nucleus,Low,Control
O95219,Endoplasmic Reticulum_Presynapse,Low,Control
O95671,Endoplasmic Reticulum,Low,Control
O95674,Endoplasmic Reticulum_Presynapse,Low,Control
O95825,Endoplasmic Reticulum,Low,Control
O95837,Endoplasmic Reticulum_Nucleus,Low,Control
O95881,Endoplasmic Reticulum,Low,Control
P01903,Endoplasmic Reticulum,Low,Control
P02656,Endoplasmic Reticulum,Low,Control
P02746,Endoplasmic Reticulum_Plasma membrane,Low,Control
P02747,Endoplasmic Reticulum,Low,Control
P02749,Endoplasmic Reticulum,Low,Control
P04003,Endoplasmic Reticulum_Plasma membrane,Low,Control
P04844,Endoplasmic Reticulum_Presynapse,Low,Control
P05362,Endoplasmic Reticulum,Low,Control
P06241,Endoplasmic Reticulum,Low,Control
P07947,Endoplasmic Reticulum,Low,Control
P08123,Endoplasmic Reticulum_Mitochondria,Low,Control
P08240,Endoplasmic Reticulum,Low,Control
P08575,Endoplasmic Reticulum,Low,Control
P0C7M8,Endoplasmic Reticulum,Low,Control
P14209,Endoplasmic Reticulum_Presynapse,Low,Control
P15374,Endoplasmic Reticulum,Low,Control
P15882,Endoplasmic Reticulum_Mitochondria,Low,Control
P17540,Endoplasmic Reticulum,Low,Control
P17900,Endoplasmic Reticulum,Low,Control
P18507,Endoplasmic Reticulum,Low,Control
P20337,Endoplasmic Reticulum_Mitochondria,Low,Control
P20774,Endoplasmic Reticulum_Plasma membrane,Low,Control
P23141,Endoplasmic Reticulum,Low,Control
P23258,Endoplasmic Reticulum_Postsynapse,Low,Control
P25685,Endoplasmic Reticulum_Presynapse,Low,Control
P26012,Endoplasmic Reticulum_Presynapse,Low,Control
P27701,Endoplasmic Reticulum_Plasma membrane,Low,Control
P28907,Endoplasmic Reticulum_Presynapse,Low,Control
P30453,Endoplasmic Reticulum_Presynapse,Low,Control
P35637,Endoplasmic Reticulum,Low,Control
P36269,Endoplasmic Reticulum_Plasma membrane,Low,Control
P41208,Endoplasmic Reticulum,Low,Control
P41567,Endoplasmic Reticulum_Plasma membrane,Low,Control
P42330,Endoplasmic Reticulum,Low,Control
P43307,Endoplasmic Reticulum,Low,Control
P46060,Endoplasmic Reticulum_Plasma membrane,Low,Control
P48723,Endoplasmic Reticulum_Nucleus,Low,Control
P49006,Endoplasmic Reticulum_Plasma membrane,Low,Control
P50150,Endoplasmic Reticulum_Plasma membrane,Low,Control
P50583,Endoplasmic Reticulum,Low,Control
P51572,Endoplasmic Reticulum_Presynapse,Low,Control
P51784,Endoplasmic Reticulum_Nucleus,Low,Control
P51790,Endoplasmic Reticulum,Low,Control
P52294,Endoplasmic Reticulum_Postsynapse,Low,Control
P53007,Endoplasmic Reticulum_Mitochondria,Low,Control
P53365,Endoplasmic Reticulum_Mitochondria,Low,Control
P54284,Endoplasmic Reticulum,Low,Control
P55011,Endoplasmic Reticulum_Plasma membrane,Low,Control
P55160,Endoplasmic Reticulum,Low,Control
P61221,Endoplasmic Reticulum_Plasma membrane,Low,Control
P61513,Endoplasmic Reticulum,Low,Control
P62068,Endoplasmic Reticulum,Low,Control
P62166,Endoplasmic Reticulum,Low,Control
P62273,Endoplasmic Reticulum_Presynapse,Low,Control
P62308,Endoplasmic Reticulum,Low,Control
P67870,Endoplasmic Reticulum,Low,Control
P98194,Endoplasmic Reticulum_Mitochondria,Low,Control
Q01064,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q01433,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q03135,Endoplasmic Reticulum,Low,Control
Q04609,Endoplasmic Reticulum_Presynapse,Low,Control
Q05469,Endoplasmic Reticulum,Low,Control
Q08462,Endoplasmic Reticulum_Presynapse,Low,Control
Q12768,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q12904,Endoplasmic Reticulum_Presynapse,Low,Control
Q12965,Endoplasmic Reticulum_Nucleus,Low,Control
Q13045,Endoplasmic Reticulum_Postsynapse,Low,Control
Q13057,Endoplasmic Reticulum,Low,Control
Q13099,Endoplasmic Reticulum,Low,Control
Q13155,Endoplasmic Reticulum_Presynapse,Low,Control
Q13505,Endoplasmic Reticulum_Postsynapse,Low,Control
Q13586,Endoplasmic Reticulum_Nucleus,Low,Control
Q13875,Endoplasmic Reticulum_Nucleus,Low,Control
Q14160,Endoplasmic Reticulum_Mitochondria,Low,Control
Q14185,Endoplasmic Reticulum,Low,Control
Q14315,Endoplasmic Reticulum_Nucleus,Low,Control
Q14416,Endoplasmic Reticulum_Mitochondria,Low,Control
Q14571,Endoplasmic Reticulum_Presynapse,Low,Control
Q14696,Endoplasmic Reticulum_Nucleus,Low,Control
Q14721,Endoplasmic Reticulum,Low,Control
Q14956,Endoplasmic Reticulum,Low,Control
Q15049,Endoplasmic Reticulum_Presynapse,Low,Control
Q15067,Endoplasmic Reticulum,Low,Control
Q15293,Endoplasmic Reticulum_Presynapse,Low,Control
Q15599,Endoplasmic Reticulum,Low,Control
Q15773,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q3KQU3,Endoplasmic Reticulum,Low,Control
Q4KMP7,Endoplasmic Reticulum,Low,Control
Q5T5C0,Endoplasmic Reticulum_Presynapse,Low,Control
Q5TCZ1,Endoplasmic Reticulum,Low,Control
Q5VUB5,Endoplasmic Reticulum_Mitochondria,Low,Control
Q5VW32,Endoplasmic Reticulum,Low,Control
Q5VWJ9,Endoplasmic Reticulum,Low,Control
Q5VZK9,Endoplasmic Reticulum,Low,Control
Q6P2E9,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q6P995,Endoplasmic Reticulum_Mitochondria,Low,Control
Q6PIU2,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q6YP21,Endoplasmic Reticulum_Mitochondria,Low,Control
Q6ZSS7,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q6ZT12,Endoplasmic Reticulum_Mitochondria,Low,Control
Q7L5N7,Endoplasmic Reticulum,Low,Control
Q7Z392,Endoplasmic Reticulum,Low,Control
Q7Z406,Endoplasmic Reticulum_Presynapse,Low,Control
Q86SZ2,Endoplasmic Reticulum,Low,Control
Q86TP1,Endoplasmic Reticulum,Low,Control
Q86V81,Endoplasmic Reticulum,Low,Control
Q86WG3,Endoplasmic Reticulum,Low,Control
Q86YQ8,Endoplasmic Reticulum_Mitochondria,Low,Control
Q8IUR7,Endoplasmic Reticulum,Low,Control
Q8IV01,Endoplasmic Reticulum,Low,Control
Q8IV38,Endoplasmic Reticulum_Postsynapse,Low,Control
Q8IVD9,Endoplasmic Reticulum,Low,Control
Q8IWT6,Endoplasmic Reticulum_Presynapse,Low,Control
Q8IXI2,Endoplasmic Reticulum_Presynapse,Low,Control
Q8IYI6,Endoplasmic Reticulum,Low,Control
Q8IZ83,Endoplasmic Reticulum,Low,Control
Q8IZS8,Endoplasmic Reticulum_Presynapse,Low,Control
Q8N0X7,Endoplasmic Reticulum,Low,Control
Q8N2F6,Endoplasmic Reticulum_Mitochondria,Low,Control
Q8N3E9,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q8N468,Endoplasmic Reticulum_Mitochondria,Low,Control
Q8N4V2,Endoplasmic Reticulum_Mitochondria,Low,Control
Q8N5K1,Endoplasmic Reticulum,Low,Control
Q8NBF6,Endoplasmic Reticulum,Low,Control
Q8NC51,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q8NCA5,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q8NE01,Endoplasmic Reticulum,Low,Control
Q8NF37,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q8NFP9,Endoplasmic Reticulum,Low,Control
Q8TAF3,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q8TBB6,Endoplasmic Reticulum_Mitochondria,Low,Control
Q8TBG9,Endoplasmic Reticulum_Presynapse,Low,Control
Q8WU79,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q8WVC6,Endoplasmic Reticulum_Mitochondria,Low,Control
Q8WW22,Endoplasmic Reticulum,Low,Control
Q8WXE9,Endoplasmic Reticulum,Low,Control
Q92520,Endoplasmic Reticulum_Mitochondria,Low,Control
Q92556,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q92932,Endoplasmic Reticulum_Mitochondria,Low,Control
Q93100,Endoplasmic Reticulum,Low,Control
Q969G6,Endoplasmic Reticulum_Mitochondria,Low,Control
Q969Z3,Endoplasmic Reticulum_Mitochondria,Low,Control
Q96AG3,Endoplasmic Reticulum,Low,Control
Q96AM1,Endoplasmic Reticulum_Nucleus,Low,Control
Q96CT7,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q96DB2,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q96DD7,Endoplasmic Reticulum,Low,Control
Q96E17,Endoplasmic Reticulum,Low,Control
Q96FE5,Endoplasmic Reticulum,Low,Control
Q96FZ7,Endoplasmic Reticulum_Mitochondria,Low,Control
Q96RL7,Endoplasmic Reticulum_Plasma membrane,Low,Control
Q96RR4,Endoplasmic Reticulum,Low,Control
Q96S52,Endoplasmic Reticulum_Nucleus,Low,Control
Q99622,Endoplasmic Reticulum_Mitochondria,Low,Control
Q99683,Endoplasmic Reticulum_Nucleus,Low,Control
Q99784,Endoplasmic Reticulum_Presynapse,Low,Control
Q9BQI7,Endoplasmic Reticulum_Presynapse,Low,Control
Q9BRK0,Endoplasmic Reticulum_Presynapse,Low,Control
Q9BSA4,Endoplasmic Reticulum,Low,Control
Q9BWS9,Endoplasmic Reticulum,Low,Control
Q9BX66,Endoplasmic Reticulum,Low,Control
Q9BX67,Endoplasmic Reticulum_Presynapse,Low,Control
Q9BZ29,Endoplasmic Reticulum_Postsynapse,Low,Control
Q9BZF1,Endoplasmic Reticulum_Nucleus,Low,Control
